date,open,high,low,close
2018-01-02,15019.14,15055.06,15019.09,15023.76
2018-01-03,15025.88,15030.93,14833.73,14833.73
2018-01-04,14831.56,14893.08,14782.38,14782.38
2018-01-08,14784.83,14953.17,14778.97,14953.17
2018-01-09,14963.67,15179.18,14963.67,15159.37
2018-01-10,15205.53,15215.54,15178.67,15192.55
2018-01-11,15196.47,15259.83,15191.01,15242.48
2018-01-14,15257.53,15313.74,15254.71,15254.85
2018-01-15,15261.76,15273.8,15127.76,15127.76
2018-01-16,15127.76,15152.97,15089.37,15089.37
2018-01-17,15089.37,15202.51,15076.64,15198.54
2018-01-18,15205.71,15419.44,15205.71,15411.0
2018-01-21,15418.32,15472.43,15339.91,15339.91
2018-01-22,15339.81,15349.76,15243.23,15243.23
2018-01-23,15242.57,15243.04,15167.45,15197.08
2018-01-24,15197.08,15197.08,15154.78,15170.73
2018-01-28,15170.73,15339.24,15170.73,15311.15
2018-01-29,15313.8,15401.53,15173.87,15369.13
2018-01-30,15367.28,15385.02,15315.07,15315.66
2018-01-31,15295.62,15300.23,15042.37,15042.37
2018-02-01,15038.83,15135.12,15026.19,15088.66
2018-02-04,15067.25,15067.25,14857.87,14874.84
2018-02-05,14895.61,14979.13,14893.43,14962.14
2018-02-06,14584.71,14717.98,14468.09,14717.98
2018-02-07,14855.98,15053.09,14855.98,15037.05
2018-02-08,15037.05,15058.53,14921.29,14921.29
2018-02-11,14929.18,14931.36,14798.64,14828.36
2018-02-12,14828.4,14993.58,14827.0,14890.71
2018-02-13,14878.25,14963.14,14729.75,14729.75
2018-02-14,14727.35,14812.77,14659.98,14805.95
2018-02-15,14805.95,14998.97,14805.95,14965.93
2018-02-18,15004.62,15161.13,15004.62,15045.56
2018-02-19,15045.56,15170.43,15045.56,15158.12
2018-02-20,15158.12,15248.85,15158.12,15219.26
2018-02-21,15221.33,15351.65,15201.93,15244.49
2018-02-22,15242.85,15347.71,15237.28,15318.92
2018-02-25,15332.97,15495.46,15332.97,15467.77
2018-02-26,15493.57,15533.99,15454.0,15454.0
2018-02-27,15458.42,15561.6,15442.56,15522.88
2018-02-28,15659.27,15721.41,15472.69,15472.69
2018-03-01,15477.83,15494.55,15437.3,15443.18
2018-03-04,15456.89,15522.08,15414.18,15519.55
2018-03-05,15546.83,15714.94,15546.83,15709.01
2018-03-06,15874.76,16022.26,15874.76,16022.26
2018-03-07,16087.77,16411.28,16087.77,16384.07
2018-03-08,16389.94,16493.03,16389.79,16472.28
2018-03-11,16478.09,16485.64,16324.98,16391.48
2018-03-12,16393.12,16746.21,16393.12,16742.15
2018-03-13,16774.89,17005.33,16774.89,16989.06
2018-03-14,17061.41,17113.8,16881.72,16881.72
2018-03-15,16877.55,17004.59,16745.53,16999.1
2018-03-18,17016.18,17301.1,17016.18,17271.03
2018-03-19,17297.4,17331.1,17172.13,17172.13
2018-03-20,17170.49,17171.99,17056.43,17113.9
2018-03-21,17173.26,17302.84,17146.58,17147.12
2018-03-22,17157.15,17197.11,17055.58,17064.58
2018-03-25,17030.81,17030.81,16892.86,16984.69
2018-03-26,17028.62,17199.02,17028.62,17104.34
2018-03-27,17181.73,17277.87,17181.73,17270.43
2018-03-28,17319.31,17365.0,17303.48,17305.51
2018-03-29,17362.67,17461.2,17325.93,17450.15
2018-04-01,17528.18,17663.64,17528.18,17595.88
2018-04-02,17623.54,17730.25,17602.75,17684.66
2018-04-03,17610.4,17610.4,17403.13,17492.71
2018-04-04,17532.19,17779.9,17509.65,17509.65
2018-04-05,17507.87,17561.53,17394.62,17410.59
2018-04-10,17431.91,17700.16,17394.52,17697.32
2018-04-11,17876.32,18082.16,17876.32,17943.96
2018-04-12,17945.13,17945.13,17615.69,17615.69
2018-04-15,17616.81,17674.21,17587.53,17588.86
2018-04-16,17585.57,17654.6,17585.57,17620.28
2018-04-17,17632.27,17823.31,17632.27,17802.48
2018-04-18,17809.58,17904.88,17705.87,17705.87
2018-04-19,17701.07,17808.6,17673.44,17781.02
2018-04-22,17802.99,17962.48,17802.99,17898.09
2018-04-23,17924.45,18094.53,17924.45,18080.7
2018-04-24,18082.06,18238.95,18082.06,18121.96
2018-04-26,18248.15,18401.24,18225.03,18363.29
2018-04-29,18388.01,18414.11,18304.46,18304.46
2018-04-30,18302.6,18354.02,18293.71,18295.57
2018-05-02,18295.57,18310.92,18173.16,18173.16
2018-05-03,18178.38,18178.64,17832.68,17832.86
2018-05-06,17844.5,17941.53,17610.87,17610.87
2018-05-07,17610.87,17620.44,17518.48,17523.15
2018-05-08,17551.64,17836.46,17551.64,17814.45
2018-05-09,17858.26,17886.98,17460.3,17460.3
2018-05-10,17447.94,17447.94,17153.68,17155.14
2018-05-13,17156.78,17360.23,17156.78,17184.02
2018-05-14,17185.65,17223.69,16982.34,16984.07
2018-05-15,17019.0,17120.68,16985.78,16985.78
2018-05-16,16984.14,17015.16,16868.96,16993.21
2018-05-17,16993.71,17028.48,16877.66,16877.66
2018-05-20,16877.66,16937.2,16744.45,16782.07
2018-05-21,16789.97,16896.23,16780.91,16780.91
2018-05-22,16780.79,16806.98,16656.03,16657.66
2018-05-23,16660.79,16713.39,16660.06,16662.55
